Word,Count
knowing,27
special,28
woken,9
scream,24
milk,6
bottle,35
spend,9
meeting,23
lived,21
glas,54
ten,68
sun,72
lit,43
bras,11
photograph,12
mantelpiece,8
showed,40
ago,57
picture,25
pink,32
colored,5
longer,27
blond,6
fair,27
playing,22
computer,5
game,38
father,82
kissed,20
yet,208
shrill,5
noise,56
walking,40
kitchen,36
frying,6
pan,5
dream,50
feeling,82
bacon,12
burn,8
birthday,27
groaned,15
slowly,55
sock,18
pulling,30
spider,65
used,72
cupboard,32
stair,45
hall,120
table,122
hidden,34
present,76
gotten,20
television,12
racing,15
mystery,18
fat,36
hated,12
exercise,6
unl,33
favorite,23
often,27
smaller,7
wear,12
bigger,8
wore,15
round,122
tape,5
own,236
appearance,10
question,68
asking,26
crash,24
parent,33
died,55
rule,29
quiet,61
vernon,156
entered,45
barked,10
newspaper,13
needed,32
rest,143
clas,68
difference,16
egg,25
thick,52
smoothly,9
angel,8
pig,9
plate,27
difficult,29
meanwhile,9
counting,9
thirty,13
six,38
darling,7
seven,39
red,120
coming,170
began,151
case,92
danger,48
nine,37
grabbed,27
parcel,14
money,34
worth,26
rang,23
camera,17
control,18
sixteen,7
ripping,5
paper,78
gold,55
bad,83
figg,8
horror,53
leap,8
friend,254
adventure,17
park,11
mad,56
lady,37
smelled,7
cabbage,6
shed,26
owned,9
ought,11
feel,124
easy,35
reminded,18
snowy,10
suggested,16
hate,27
slug,19
vacation,6
leave,122
hopefully,9
change,55
snarled,16
blow,20
listening,26
zoo,10
alone,115
cry,29
crying,24
screwed,6
wailed,6
t,15
between,102
sob,17
gap,12
lord,98
frantically,11
pier,37
rat,28
hit,49
pretending,15
hour,124
taken,90
aside,20
warning,28
putting,31
christma,39
honestly,13
happened,84
telling,59
tired,36
short,40
bald,9
bang,15
hide,18
horrible,48
laughed,30
school,184
already,116
given,78
grown,20
force,35
sweater,16
puff,8
become,41
fitted,7
fit,24
wash,6
relief,25
punished,7
terrible,99
trouble,97
roof,15
gang,8
chasing,5
surprise,44
chimney,6
received,20
locked,47
jump,18
wind,50
somewhere,59
complained,6
